Timestamp,X,Y,Z,Left_X,Left_Y,Left_Z,Left_ROLL,Left_YAW,Left_PITCH,Right_X,Right_Y,Right_Z,Right_ROLL,Right_YAW,Right_PITCH
1.41,0.131324021544257,-0.00908118516716421,0.55,0.2494423591,0.1262158855,0,0,0,0,-0.000530846825400131,-0.144664858,0.000317267805081216,0,0,0
1.42,0.136806237356062,-0.00396297472766237,0.55,0.2494423591,0.1262158855,0,0,0,0,-0.000433436222675076,-0.144664858,0.0012325531028738,0,0,0
1.43,0.142285775388501,0.00113011177380739,0.55,0.2494423591,0.1262158855,0,0,0,0,-0.000176395703843637,-0.144664858,0.00269227821740941,0,0,0
1.44,0.14766835754493,0.0060947294268944,0.55,0.2494423591,0.1262158855,0,0,0,0,0.000309692235705361,-0.144664858,0.00464446480633069,0,0,0.00105424057828149
1.45,0.152887882386095,0.0108580099383295,0.55,0.2494423591,0.1262158855,0,0,0,0,0.00108739081367882,-0.144664858,0.00703873386089129,0,0,0.0271092401975367
1.46,0.157912703647247,0.0153843632199354,0.55,0.2494423591,0.1262158855,0,0,0,0,0.00221262315734515,-0.144664858,0.00982630570595585,0,0,0.119384443479728
1.47,0.162736381455541,0.0196654538240813,0.55,0.2494423591,0.1262158855,0,0,0,0,0.0037348865,-0.144664858,0.01296,0,0,0.311213991769547
1.48,0.167366188769042,0.0237077448624463,0.55,0.2494423591,0.1262158855,0,0,0,0,0.00569746637743202,-0.144664858,0.0163942357351104,0,0,0.627528708276313
1.49,0.171814615412916,0.0275232899244968,0.55,0.2494423591,0.1262158855,0,0,0,0,0.00813765082438865,-0.144664858,0.0200850312369846,0,0,1.08544374269882
1.5,0.176094670334882,0.0311246405287951,0.55,0.2494423591,0.1262158855,0,0,0,0,0.0110869445710418,-0.144664858,0.0239900041649313,0,0,1.6948462158502
1.51,0.180218013235939,0.0345228192867264,0.55,0.2494423591,0.1262158855,0,0,0,0,0.0145712832394538,-0.144664858,0.0280683715118701,0,0,2.45898286428274
1.52,0.184194662406598,0.0377270008690395,0.55,0.2494423591,0.1262158855,0,0,0,0,0.0186112475400428,-0.144664858,0.0322809496043315,0,0,3.37504768491279
1.53,0.188033338344793,0.0407448817497248,0.55,0.2494423591,0.1262158855,0,0,0,0,0.023222277468049,-0.144664858,0.0365901541024573,0,0,4.43476957964556
1.54,0.19174191604933,0.0435831675630808,0.55,0.2494423591,0.1262158855,0,0,0,0,0.0284148865,-0.144664858,0.04096,0,0,5.625
1.55,0.195327771361659,0.0462479455046104,0.55,0.2494423591,0.1262158855,0,0,0,0,0.0341948757901767,-0.144664858,0.0453561016243232,0,0,6.92830059173365
1.56,0.198797982921067,0.0487449001240944,0.55,0.2494423591,0.1262158855,0,0,0,0,0.0405635483670792,-0.144664858,0.0497456726364015,0,0,8.32353083946749
1.57,0.20215942367846,0.0510794092882443,0.55,0.2494423591,0.1262158855,0,0,0,0,0.0475179233298923,-0.144664858,0.0540975260308205,0,0,9.78643571131076
1.58,0.205418789410357,0.05325657171452,0.55,0.2494423591,0.1262158855,0,0,0,0,0.0550509500449515,-0.144664858,0.0583820741357768,0,0,11.2902333034859
1.59,0.208582600771811,0.0552812056632079,0.55,0.2494423591,0.1262158855,0,0,0,0,0.0631517223422086,-0.144664858,0.0625713286130779,0,0,12.8062024849532
1.6,0.211657199800684,0.0571578414422565,0.55,0.2494423591,0.1262158855,0,0,0,0,0.0718056927116975,-0.144664858,0.0666389004581424,0,0,14.3042705420361
1.61,0.214648749658848,0.0588907172386452,0.55,0.2494423591,0.1262158855,0,0,0,0,0.0809948865,-0.144664858,0.07056,0,0,15.7536008230453
1.62,0.217563239417319,0.0604837802278829,0.55,0.2494423591,0.1262158855,0,0,0,0,0.0906981161067115,-0.144664858,0.0743114369012911,0,0,17.1231803829043
1.63,0.220406492740441,0.0619406917143084,0.55,0.2494423591,0.1262158855,0,0,0,0,0.100891195180907,-0.144664858,0.0778716201582674,0,0,18.3824076277741
1.64,0.223184178703318,0.0632648343816541,0.55,0.2494423591,0.1262158855,0,0,0,0,0.111547152817606,-0.144664858,0.0812205581007913,0,0,19.5016799596778
1.65,0.22590182334966,0.0644593201371213,0.55,0.2494423591,0.1262158855,0,0,0,0,0.122636447754239,-0.144664858,0.0843398583923365,0,0,20.4529814211255
1.66,0.228564821185666,0.0655269976694331,0.55,0.2494423591,0.1262158855,0,0,0,0,0.134127182567115,-0.144664858,0.0872127280299875,0,0,21.2104703397394
1.67,0.231178446274753,0.0664704593493606,0.55,0.2494423591,0.1262158855,0,0,0,0,0.145985317867882,-0.144664858,0.0898239733444398,0,0,21.7510669728785
